date,portfolio_value
2024-03-26,110432792.44950086
2024-03-27,109713767.67595235
2024-03-28,109815667.18442342
2024-03-29,109905554.06100145
2024-03-30,109905554.06100145
2024-03-31,109905554.06100145
2024-04-01,109221432.21048316
2024-04-01,109130236.20894982
2024-04-02,109787882.32795087
2024-04-03,109774659.2196116
2024-04-04,109496153.74406241
2024-04-05,109180001.95421243
2024-04-06,109180001.95421243
2024-04-07,109180001.95421243
2024-04-08,109322051.60483702
2024-04-09,109547264.27780163
2024-04-10,109332193.7905205
2024-04-11,107935752.84863509
2024-04-12,108765833.85970768
2024-04-13,108765833.85970768
2024-04-14,108765833.85970768
2024-04-15,108213817.8056406
2024-04-16,108242189.76768583
2024-04-17,108372503.31834051
2024-04-18,108372503.31834051
2024-04-19,107491737.83202252
2024-04-20,107491737.83202252
2024-04-21,107491737.83202252
2024-04-22,108232860.04013619
2024-04-23,108490282.32993135
2024-04-24,109260201.86487281
2024-04-25,109701060.5634688
2024-04-26,109924968.4657303
2024-04-27,109924968.4657303
2024-04-28,109924968.4657303
2024-04-29,109924968.4657303
2024-04-30,109924968.4657303
2024-05-01,109924968.4657303
2024-05-01,109755583.17275469
2024-05-02,110514588.92262872
2024-05-03,111081421.78749081
2024-05-04,111081421.78749081
2024-05-05,111081421.78749081
2024-05-06,111422552.89300749
2024-05-07,111113666.33014281
2024-05-08,111746245.67572959
2024-05-09,111534245.63389003
2024-05-10,111540372.82224151
2024-05-11,111540372.82224151
2024-05-12,111540372.82224151
2024-05-13,112380506.017662
2024-05-14,112627106.02105539
2024-05-15,113503652.03165098
2024-05-16,113674341.37700428
2024-05-17,113931109.53180152
2024-05-18,113931109.53180152
2024-05-19,113931109.53180152
2024-05-20,114190652.81296068
2024-05-21,114619251.55472101
2024-05-22,114384938.63477787
2024-05-23,115358286.57958601
2024-05-24,114911591.06438796
2024-05-25,114911591.06438796
2024-05-26,114911591.06438796
2024-05-27,115010849.9607395
2024-05-28,115098547.6155488
2024-05-29,115054806.69677606
2024-05-30,115636247.90233247
2024-05-31,116008185.84006508
2024-06-01,116008185.84006508
2024-06-01,115836349.81121834
2024-06-02,115836349.81121834
2024-06-03,116291248.00802976
2024-06-04,116605297.61492644
2024-06-05,116816285.80905664
2024-06-06,116932373.54194102
2024-06-07,116908111.17263527
2024-06-08,116908111.17263527
2024-06-09,116908111.17263527
2024-06-10,116709801.34447195
2024-06-11,116091674.75990793
2024-06-12,116002876.73201168
2024-06-13,115908599.24255833
2024-06-14,115798764.28335164
2024-06-15,115798764.28335164
2024-06-16,115798764.28335164
2024-06-17,115568520.6315741
2024-06-18,115580263.01543288
2024-06-19,115726528.0801155
2024-06-20,115761326.14861499
2024-06-21,116182566.70347857
2024-06-22,116182566.70347857
2024-06-23,116182566.70347857
2024-06-24,115792503.48077086
2024-06-25,115706563.45040162
2024-06-26,115665477.76343228
2024-06-27,115634065.88992262
2024-06-28,115636710.23784246
2024-06-29,115636710.23784246
2024-06-30,115636710.23784246
2024-07-01,115936305.37152526
2024-07-01,115658728.95609522
2024-07-02,116748475.51941864
2024-07-03,117207379.23571494
2024-07-04,116713995.02280179
2024-07-05,117036458.68424192
2024-07-06,117036458.68424192
